,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,Sentiment_Class
0,1.0,1.0,1.0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software.",read instal instruct nis nav prior instal end result junk softwar,"['software', 'nis', 'instructions', 'installation']",-1,{'same'},set(),['prior installation'],0
1,1.0,1.0,2.0,Why is it that I can install any other type of software and it installs and works properly?,whi instal ani type softwar instal work proper,"['work', 'software', 'installation']",0,{'other'},set(),[],-1
4,1.0,1.0,5.0,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful.",use norton past year year softwar gotten disgrac,"['software', 'past', 'norton']",-1,"{'disgrac', 'more', 'last'}",set(),['past software'],1
5,1.0,1.0,6.0,I am glad that I do not work for Norton.,glad not_work norton,['norton'],-1,{'glad'},set(),[],1
6,1.0,2.0,7.0,I have used Norton products in the past and I am familiar with them.,use norton product past familiar,"['product past', 'norton product', 'product', 'past', 'norton']",0,{'familiar'},set(),['norton products'],1
9,1.0,2.0,10.0,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",thank roxio goback use time,['time'],0,{'thank'},set(),[],0
11,1.0,2.0,12.0,"The MS scandisk would appear due to manual shutdown and would only scan to the 2nd bar, over and over(up to 1 hr, I then shut it down and used GOBACK).",ms scandisk appear manual shutdown onli scan 2nd bar over(up hr shut use goback,[],-1,"{'manual', '2nd'}",set(),[],0
13,1.0,2.0,14.0,I have never had this problem with any other software on my computer.,not_had problem ani softwar comput,"['problems software', 'software computer', 'problems computer', 'software', 'problems', 'computer']",-1,{'other'},set(),[],-1
14,1.0,2.0,15.0,NIS 2003 worked like a charm last year.,nis work like charm year,"['work', 'nis']",1,{'last'},set(),[],0
16,1.0,2.0,17.0,Buying software that can not be installed normally and being put into the position of having a non-working computer.,buy softwar not_b instal normal posit non work comput,"['software computer', 'work', 'software', 'installation', 'computer']",-1,{'non'},set(),[],0
18,1.0,3.0,19.0,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating).",loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['norton internet security', 'security software', 'norton security', 'norton product', 'internet software', 'internet security', 'norton internet', 'firewall internet', 'symantec', 'stars', 'software', 'security', 'product', 'norton', 'internet', 'firewall', 'customer']",-1,"{'dissatisfi', 'loyal'}",set(),"['norton products', 'dissatisfied rating', 'symantec products']",1
21,1.0,4.0,22.0,Anti-Spam is Good,anti spam good,[],0,{'good'},set(),[],1
22,1.0,4.0,23.0,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days.,latest internet secur antispam function help becaus receiv mountain day,"['internet security', 'security', 'internet', 'help', 'antispam']",0,{'latest'},set(),"['helpful function', 'latest function']",1
23,1.0,4.0,24.0,Other than that it is all the same except the new updates.,new updat,['updates'],-1,"{'other', 'same', 'new'}",set(),[],1
