,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,sentiment_by_adjective_polarity
0,1.0,1.0,1.0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software.",read instal instruct nis nav prior instal end result junk softwar,"['software', 'nis', 'instructions', 'installation']",-1,{'prior'},set(),['prior installation'],0
3,1.0,1.0,4.0,"It can not be the computer or the owner, since I purchased McAfee Anti-Virus 8 and it installs and works fine with no problems.",not_b comput owner sinc purchas mcafe anti virus instal work fine not_problem,"['work', 'virus', 'mcafee', 'installation', 'computer']",1,{'fine'},set(),['fine not_problems'],1
4,1.0,1.0,5.0,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful.",use norton past year year softwar gotten disgrac,"['software', 'past', 'norton']",-1,{'disgraceful'},set(),['past software'],0
5,1.0,1.0,6.0,I am glad that I do not work for Norton.,glad not_work norton,['norton'],-1,{'glad'},set(),[],1
6,1.0,2.0,7.0,I have used Norton products in the past and I am familiar with them.,use norton product past familiar,"['product past', 'norton product', 'product', 'past', 'norton']",0,{'familiar'},set(),['norton products'],1
18,1.0,3.0,19.0,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating).",loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['norton internet security', 'security software', 'norton security', 'norton product', 'software internet', 'internet security', 'norton internet', 'firewall internet', 'symantec', 'star', 'software', 'security', 'product', 'norton', 'internet', 'firewall', 'customer']",-1,"{'loyal', 'dissatisfied'}",set(),"['norton products', 'symantec products', 'dissatisfied rating']",1
22,1.0,4.0,23.0,The latest of Internet Security has antispam function that is helpful because I has received a mountain of those these days.,latest internet secur antispam function help becaus receiv mountain day,"['internet security', 'security', 'internet', 'help', 'antispam']",0,"{'latest', 'helpful'}",set(),"['latest function', 'helpful function']",1
24,1.0,4.0,25.0,But that is good for me because Symantec softwares are a bit hard to master for me who are not savvy on computers.,good becaus symantec softwar bit hard master not_savvi comput,"['software computer', 'symantec', 'software', 'computer']",1,"{'good', 'hard'}",set(),['symantec softwares'],1
26,1.0,5.0,27.0,Too bad the product is cumbersome and intertwined trying to do so much at one time.,bad product cumbersom intertwin tri time,"['time', 'product']",-1,"{'bad', 'cumbersome'}",set(),[],-1
30,1.0,6.0,31.0,"Perhaps Semantic could work out the efficiency a little, but these reviews are highly exagerated... I would ask what else these people are running on their computers(?)",perhap semant work effici littl review high exager ask els peopl run comput,"['work', 'reviews', 'people', 'computer']",1,"{'semantic', 'little'}",set(),['semantic efficiency'],-1
36,1.0,7.0,37.0,Even for computer super-heros it's a pain to maintain when there is a problem.,comput super hero pain maintain problem,"['problems computer', 'problems', 'computer']",0,{'super'},set(),['super pain'],1
37,1.0,8.0,38.0,I also reviewed Norton System Works 2004/Professional.,review norton system work profession,"['work', 'system', 'reviews', 'norton']",0,{'professional'},set(),['norton system'],1
39,1.0,8.0,40.0,"For purposes of clarity, here is my review from that product,edited to be appropriate for this product, since, for the most part, they share many of the same problems.",purpos clariti review product edit appropri product sinc share mani problem,"['product problems', 'reviews', 'product', 'problems', 'edition']",-1,{'appropriate'},set(),['appropriate problems'],1
41,1.0,8.0,42.0,This is the fourth version of SystemWorks and the second version of Internet Security that I have used and it has always been a favorite.,fourth version systemwork second version internet secur use alway favorit,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet']",1,"{'fourth', 'second'}",{'fourth'},['second version'],0
42,1.0,8.0,43.0,"It has saved my system on more than one occasion, and makes disc clean up a snap.",save system occas disc clean snap,['system'],0,{'clean'},{'more'},['clean snap'],1
43,1.0,8.0,44.0,"The antivirus feature is phenomenal, and is regularly updated.",antivirus featur phenomen regular updat,"['updates', 'feature', 'antivirus']",0,{'phenomenal'},set(),[],1
48,1.0,8.0,49.0,The biggest problem is the installation.,biggest problem instal,"['installation problems', 'problems', 'installation']",-1,{'biggest'},{'biggest'},['biggest installation'],0
50,1.0,8.0,51.0,"I've had to install and uninstall them four or five times so far, and I've not to get either product working properly.",ve instal uninstal time far ve not_to product work proper,"['work', 'time', 'product', 'installation']",-1,{'uninstall'},set(),['uninstall times'],0
59,1.0,8.0,60.0,"The next problem was that it didn't recognize all the installed components, so it would not update them, most notably and importantly, virus definitions.",problem not_recogn instal compon not_upd notabl import virus definit,"['installation problems', 'virus definitions', 'virus', 'problems', 'installation', 'definitions', 'components']",-1,set(),{'next'},[],0
60,1.0,8.0,61.0,"Without this important feature, both SystemWorks and Internet Security are all but useless.",import featur systemwork internet secur useless,"['systemworks internet security', 'systemworks security', 'systemworks internet', 'internet security', 'systemworks', 'security', 'internet', 'feature']",0,"{'important', 'useless'}",set(),[],-1
62,1.0,8.0,63.0,"Once installed, however, some of the functions do work OK (Disk Doctor, One Button Checkup, and WinDoctor).",onc instal howev function work ok disk doctor button checkup windoctor,"['work', 'installation']",1,{'ok'},set(),['ok button'],1
65,1.0,8.0,66.0,The other annoyance with this that you have to remove every single remnant of previous version of Norton SystemWorks before you installs this.,annoy remov everi singl remnant previous version norton systemwork befor instal,"['versions norton', 'versions', 'systemworks', 'norton', 'installation']",-1,"{'single', 'previous', 'remnant'}",{'previous'},['previous version'],-1
66,1.0,8.0,67.0,"Warning! The Windows ""remove program"" feature does not do a good job of this, and neither does Norton's own removal program.",warn window remov program featur doe not_do good job doe norton remov program,"['program norton', 'windows', 'program', 'norton', 'feature']",-1,{'good'},set(),['good job'],1
68,1.0,8.0,69.0,"Their website had a download that helped remove those, although I had to manually remove a good number of files from the ""Programs"" directory.",websit download help remov manual remov good number file program directori,"['website', 'program', 'number', 'help', 'files']",1,{'good'},{'good'},['good files'],1
69,1.0,8.0,70.0,"If you have an older version of ""Internet Security"" installed, you may also need to remove it as well before proceeding with SystemWorks install.",older version internet secur instal need remov befor proceed systemwork instal,"['systemworks internet security', 'versions security', 'systemworks security', 'versions internet', 'systemworks internet', 'internet security', 'versions', 'systemworks', 'security', 'internet', 'installation']",-1,{'older'},{'older'},['older security'],1
73,1.0,8.0,74.0,"As of October, 2004, these products are NOT working and I'm ready to demand a refund from Symantec.",octob product not_work m readi demand refund symantec,"['symantec', 'product']",-1,{'ready'},set(),[],1
