,Product_ID,Review_ID,Sentence_ID,Sentence,Stemmed_Sentence,Clean_Sentence,Stemmed_Transactions,Opinion_Words,Infrequent_Opinions
0,1.0,1.0,1.0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation , but still ended up with the same result ... junk software .",i have read the instal instruct for both nis and nav prior to instal but still end up with the same result junk softwar,read instal instruct nis nav prior instal end result junk softwar,"['nis', 'ms', 'instruct', 'result', 'junk', 'instal', 'softwar']",{'prior'},"{('prior', 'installation')}"
1,1.0,1.0,2.0,Why is it that I can install any other type of software and it installs and works properly ?,whi is it that i can instal ani other type of softwar and it instal and work proper,whi instal ani type softwar instal work proper,"['time', 'softwar']",set(),set()
2,1.0,1.0,3.0,"But if I installed either one of these Norton products , neither works after installation ?",but if i instal either one of these norton product neither work after instal,instal norton product work instal,"['product', 'instal']",set(),"{('norton', 'products')}"
3,1.0,1.0,4.0,"It can not NOT_be the computer or the owner , since I purchased McAfee Anti - Virus 8 and it installs and works fine with no NOT_problems .",it can not not_b the comput or the owner sinc i purchas mcafe anti virus and it instal and work fine with no not_problem,not_b comput owner sinc purchas mcafe anti virus instal work fine not_problem,"['comput', 'mcafe', 'problem', 'one', 'virus']",{'fine'},"{('fine', 'not_problems')}"
4,1.0,1.0,5.0,"I have used Norton for the past 5 years and for the last 2 years , the software has gotten more and more disgraceful .",i have use norton for the past year and for the last year the softwar has gotten more and more disgrac,use norton past year year softwar gotten disgrac,"['star', 'softwar', 'norton']",{'disgraceful'},"{('past', 'software')}"
5,1.0,1.0,6.0,I am glad that I do not NOT_work for Norton .,i am glad that i do not not_work for norton,glad not_work norton,['norton'],{'glad'},set()
6,1.0,2.0,7.0,I have used Norton products in the past and I am familiar with them .,i have use norton product in the past and i am familiar with them,use norton product past familiar,"['product', 'past']",{'familiar'},"{('norton', 'products')}"
7,1.0,2.0,8.0,I bought NIS 2004 recently to try it out .,i bought nis recent to tri it out,bought nis recent tri,['ms'],set(),set()
8,1.0,2.0,9.0,"After 4 attempted installs , I have finally given up .",after attempt instal i have final given up,attempt instal final given,['instal'],set(),set()
9,1.0,2.0,10.0,"I am thankful that I have Roxio GOBACK , I had to use it 3 of the 4 times .",i am thank that i have roxio goback i had to use it of the time,thank roxio goback use time,"['time', 'goback']",set(),set()
