,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features
0,1.0,1.0,1.0,"I have read the installation instructions for both NIS 2004 and NAV 2004 prior to installation, but still ended up with the same result...junk software.",read instal instruct nis nav prior instal end result junk softwar,"['software', 'nis', 'instructions', 'installation']",-1,{'same'},set(),['prior installation']
1,1.0,1.0,2.0,Why is it that I can install any other type of software and it installs and works properly?,whi instal ani type softwar instal work proper,"['work', 'software', 'installation']",0,{'other'},set(),[]
2,1.0,1.0,3.0,"But if I installed either one of these Norton products, neither works after installation?",instal norton product work instal,"['norton product', 'work', 'product', 'norton', 'installation']",-1,set(),set(),['norton products']
3,1.0,1.0,4.0,"It can not be the computer or the owner, since I purchased McAfee Anti-Virus 8 and it installs and works fine with no problems.",not_b comput owner sinc purchas mcafe anti virus instal work fine not_problem,"['work', 'virus', 'mcafee', 'installation', 'computer']",1,set(),set(),['fine not_problems']
4,1.0,1.0,5.0,"I have used Norton for the past 5 years and for the last 2 years, the software has gotten more and more disgraceful.",use norton past year year softwar gotten disgrac,"['software', 'past', 'norton']",-1,"{'disgrac', 'more', 'last'}",set(),['past software']
5,1.0,1.0,6.0,I am glad that I do not work for Norton.,glad not_work norton,['norton'],-1,{'glad'},set(),[]
6,1.0,2.0,7.0,I have used Norton products in the past and I am familiar with them.,use norton product past familiar,"['product past', 'norton product', 'product', 'past', 'norton']",0,{'familiar'},set(),['norton products']
7,1.0,2.0,8.0,I bought NIS 2004 recently to try it out.,bought nis recent tri,['nis'],0,set(),set(),[]
8,1.0,2.0,9.0,"After 4 attempted installs, I have finally given up.",attempt instal final given,['installation'],-1,set(),set(),[]
9,1.0,2.0,10.0,"I am thankful that I have Roxio GOBACK, I had to use it 3 of the 4 times.",thank roxio goback use time,['time'],0,{'thank'},set(),[]
10,1.0,2.0,11.0,"During install, NIS would either freeze or not reboot properly when asked to do so.",dure instal nis freez not_reboot proper ask,"['nis', 'installation']",-1,set(),set(),[]
11,1.0,2.0,12.0,"The MS scandisk would appear due to manual shutdown and would only scan to the 2nd bar, over and over(up to 1 hr, I then shut it down and used GOBACK).",ms scandisk appear manual shutdown onli scan 2nd bar over(up hr shut use goback,[],-1,"{'manual', '2nd'}",set(),[]
12,1.0,2.0,13.0,"The 1 time it did install, it did not work and had errors, I used the unistall NIS icon and it properly removed itself.",time instal not_work error use unistal nis icon proper remov,"['time', 'nis', 'installation', 'error']",-1,set(),set(),[]
13,1.0,2.0,14.0,I have never had this problem with any other software on my computer.,not_had problem ani softwar comput,"['problems software', 'software computer', 'problems computer', 'software', 'problems', 'computer']",-1,{'other'},set(),[]
14,1.0,2.0,15.0,NIS 2003 worked like a charm last year.,nis work like charm year,"['work', 'nis']",1,{'last'},set(),[]
15,1.0,2.0,16.0,"Being a past Norton customer, I consider this to be a slap to my face.",past norton custom consid slap face,"['past', 'norton', 'customer']",-1,set(),set(),[]
16,1.0,2.0,17.0,Buying software that can not be installed normally and being put into the position of having a non-working computer.,buy softwar not_b instal normal posit non work comput,"['software computer', 'work', 'software', 'installation', 'computer']",-1,{'non'},set(),[]
17,1.0,2.0,18.0,"Norton has been on a downhill slid recently with their products, but with this one, they have fallen off the cliff.",norton downhil slid recent product fallen cliff,"['norton product', 'product', 'norton']",-1,set(),set(),[]
18,1.0,3.0,19.0,"As a loyal customer of Norton/Symantec products, I purchased Internet Security 2004 as a software firewall and could not be any more dissatisfied with the product (and hence the one star rating).",loyal custom norton symantec product purchas internet secur softwar firewal not_b ani dissatisfi product henc star rate,"['norton internet security', 'security software', 'norton security', 'norton product', 'internet software', 'internet security', 'norton internet', 'firewall internet', 'symantec', 'stars', 'software', 'security', 'product', 'norton', 'internet', 'firewall', 'customer']",-1,"{'dissatisfi', 'loyal'}",set(),"['norton products', 'dissatisfied rating', 'symantec products']"
19,1.0,3.0,20.0,Here's why:,whi,[],0,set(),set(),[]
